userNo,volumen_total,volumen_mean,volumen_std,volumen_min,volumen_max,n_transacciones,precio_mean,precio_std,fecha_primera,fecha_ultima,dias_activo,hora_mean,hora_std,dia_semana_mean,n_compras,n_ventas,pct_fds,segmento,ticket_promedio,ticket_mediano,ticket_std,ticket_cv,ticket_p25,ticket_p75,ticket_iqr,frecuencia_diaria,dias_vida,pct_dias_activo,pct_dias_mercado,ratio_cv,pct_compras,es_solo_compra,es_solo_venta,es_bidireccional,balance_cv,precio_cv,concentracion_temporal,hora_cv,es_horario_fijo,prefiere_fds,evita_fds,volumen_por_hora,log_volumen,log_ticket,log_transacciones,tendencia_actividad,es_creciente,es_decreciente,irregularidad,es_regular,cluster,silhouette,tipo_final
461ae4417c244f6b9b9fd276ec0e933f,60402.20934295654,197.39284099005405,337.81568037563795,20.159912109375,3175.16015625,306,12.882549,2.270628,2024-11-06,2025-11-05,84,14.199346405228757,6.511739680743841,2.8856209150326797,18,288,0.28104575163398693,profession,197.39284099005405,79.94497680664062,337.81568037563795,1.711387701201683,37.994964599609375,171.20501708984375,133.21005249023438,3.642857142857143,365,0.23013698630136986,0.18584070796460178,0.0625,0.058823529411764705,0,0,1,0.11764705882352944,0.1762561,0.47416744475568,0.4585943250420289,0,0,0,29.96141336456178,11.008797517328464,5.290249110480254,5.726847747587197,-0.009381846737297559,0,0,1.0329767390769318,0,2,0.02506869774641534,P3
s02848eebb06f3972a79659ce6aa7c4de,6698.019927978516,446.5346618652344,356.5671849815478,50.04998779296875,1192.52001953125,15,10.8446665,0.28071004,2024-09-17,2025-01-05,6,15.133333333333333,2.5597618936887385,4.733333333333333,0,15,0.6666666666666666,profession,446.5346618652344,350.75,356.5671849815478,0.798520731833268,149.9299774169922,689.8250122070312,539.8950347900391,2.5,111,0.05405405405405406,0.01327433628318584,0.0,0.0,0,1,0,0.0,0.025884617,0.25555555555555554,0.16914726169749375,1,1,0,46.51402727762858,8.80971651527299,6.103753991397384,2.772588722239781,0.10622446982438098,1,0,0.5513619500836089,0,1,0.2180220500213364,P2
s034e29ecad163613b217e860ed65d31b,244957.69952392578,881.1428040428985,743.8896532914446,20.0400390625,3138.85986328125,278,12.502625,1.8409464,2024-09-11,2025-11-18,126,15.143884892086332,5.31473145254726,2.676258992805755,186,92,0.23381294964028776,profession,881.1428040428985,697.8349914550781,743.8896532914446,0.8442327961804795,289.67498779296875,1298.2500305175781,1008.5750427246094,2.2063492063492065,434,0.2903225806451613,0.27876106194690264,2.0217391304347827,0.6690647482014388,0,0,1,0.6618705035971224,0.14724478,0.3133493205435651,0.35094901278103047,0,0,0,81.00453026584847,12.408844901945045,6.782353952246578,5.631211781821365,-0.0024848094323749377,0,0,0.5911368559518816,0,1,0.2798616440827693,P2
s04cf29e6fc5f39cfb17ca66c8b249a7d,10515.679870605469,751.1199907575335,478.99529018340615,31.4300537109375,1672.239990234375,14,12.879286,2.0438104,2024-10-03,2025-11-12,13,15.714285714285714,4.046433784658581,3.9285714285714284,0,14,0.35714285714285715,profession,751.1199907575335,838.1149597167969,478.99529018340615,0.6377080840310493,541.0225372314453,1042.8125,501.7899627685547,1.0769230769230769,406,0.03201970443349754,0.028761061946902654,0.0,0.0,0,1,0,0.0,0.15868972,0.06593406593406598,0.2575003317510006,0,1,0,33.7041021493765,9.260717834825545,6.622895873398721,2.70805020110221,-0.06093750665021912,0,1,0.2575393768188564,1,1,0.3871585450080684,P2
s0701754b850137bca7e49293adfcd1c5,30613.399829864502,76.53349957466125,64.11486396397969,20.050003051757812,370.79998779296875,400,12.394225,1.6983012,2024-10-21,2025-12-02,131,16.3925,5.170132437719455,3.005,338,62,0.315,profession,76.53349957466125,49.964988708496094,64.11486396397969,0.8377359498820941,31.322494506835938,97.82999992370605,66.50750541687012,3.053435114503817,408,0.32107843137254904,0.28982300884955753,5.451612903225806,0.845,0,0,1,0.31000000000000005,0.13702358,0.4209923664122137,0.31539621398319084,0,0,0,9.737086459880567,10.32922575992648,4.350710095541343,5.993961427306569,0.01092231616999759,1,0,0.8985618852023836,0,1,0.16863728439451764,P2
s0746bc3ce14132b5b096408b354372a4,4837833.087631226,2730.1541126587053,3504.481883514291,20.3203125,20133.029296875,1772,12.897347,1.8253118,2024-10-02,2025-12-03,124,11.696388261851016,4.041195048082145,2.665349887133183,536,1236,0.23476297968397292,profession,2730.1541126587053,1254.56982421875,3504.481883514291,1.2836205352896808,407.2424850463867,3576.7174072265625,3169.474922180176,14.290322580645162,428,0.2897196261682243,0.2743362831858407,0.4336569579288026,0.30248306997742663,0,0,1,0.6049661399548533,0.14152613,0.4052191800771864,0.34550794293165876,0,0,0,1625.615956865331,15.391977675978131,7.912479550734238,7.480428306074208,0.013953588565097617,1,0,0.7619684956284212,0,2,0.3479168160935975,P3
s08aef7872cb53fd9a8a03f6c7ca1dbeb,315961.37774658203,635.7371785645514,906.2614905120003,20.010009765625,4981.0400390625,497,12.083038,1.7142974,2024-09-15,2025-11-05,130,13.060362173038229,6.113870588934944,3.130784708249497,255,242,0.2857142857142857,profession,635.7371785645514,222.010009765625,906.2614905120003,1.425528537686396,70.719970703125,758.8499755859375,688.1300048828125,3.8230769230769233,417,0.3117505995203837,0.28761061946902655,1.0537190082644627,0.5130784708249497,0,0,1,0.9738430583501005,0.14187635,0.4892895836557808,0.46812412304739903,0,0,0,101.26967235467373,12.66337842771713,6.456356977912122,6.210600077024653,-0.001780245112538525,0,0,1.3013282549065843,0,2,0.1653561043757634,P3
s0935efd2f34f394485fdde9b75ec484d,1176661.896347046,836.8861282695917,1181.3428221076638,20.77001953125,16080.189453125,1406,12.285035,1.5676519,2024-09-09,2025-12-03,217,14.094594594594595,4.916557754752222,2.6187766714082503,962,444,0.1941678520625889,profession,836.8861282695917,499.99998474121094,1181.3428221076638,1.4115932648451188,269.8375244140625,982.3475341796875,712.510009765625,6.47926267281106,451,0.4811529933481153,0.48008849557522126,2.1666666666666665,0.6842105263157895,0,0,1,0.631578947368421,0.12760663,0.5082955863940584,0.34882576591722375,0,0,0,225.93354384543892,13.978192935998598,6.730882206129045,7.249215057114389,0.012100179780817571,1,0,1.1133551443299383,0,2,0.3041852903208321,P3
s09e93675103e3b8985d74d0337475cf6,26504362.30598831,2597.9574893146746,2741.6105861767046,20.019996643066406,19359.361328125,10202,12.445329,2.0241897,2024-09-09,2025-12-03,429,14.304940207802392,4.6906491129090035,2.8151342873946286,5115,5087,0.24103117035875318,profession,2597.9574893146746,1595.7252197265625,2741.6105861767046,1.0552946295129428,617.3549652099609,3705.3848876953125,3088.0299224853516,23.780885780885782,451,0.9512195121951219,0.9491150442477876,1.0055042264596028,0.5013722799451088,0,0,1,0.9972554401097824,0.16264655,0.31272125900630116,0.3279041397426161,0,0,0,2574.238763207878,17.092819930458788,7.862865677953151,9.230437073675304,0.0002629464053410879,0,0,0.5558660148914,0,2,0.35919481160789013,P3
s0b9b9b74c34b30b2938882116d506fe9,256453.24089050293,1732.7921681790738,2011.8471540195014,25.7001953125,9258.849609375,148,11.731419,1.2838472,2024-09-11,2025-08-05,66,14.236486486486486,5.843027691638841,2.554054054054054,144,4,0.16216216216216217,profession,1732.7921681790738,1003.860107421875,2011.8471540195014,1.1610435405728294,368.0149383544922,2159.7175903320312,1791.702651977539,2.242424242424242,329,0.2006079027355623,0.14601769911504425,36.0,0.972972972972973,0,0,1,0.054054054054053946,0.10943665,0.3642506142506142,0.41042624507002773,0,0,0,161.90229854198418,12.454705529590422,7.458066293282265,5.003946305945459,0.007388971296732024,0,0,0.9834501730387354,0,1,0.16976394027004044,P2
