fecha,precio_mean,precio_std,precio_min,precio_max,volumen,ticket_medio,n_detecciones,n_ordenes,n_traders,vol_compra,vol_venta,ratio_cv,dia_semana,dia_nombre,dia_mes,mes,semana,d_martes,d_miercoles,d_jueves,d_viernes,d_sabado,d_domingo,es_fds,es_fin_mes,es_inicio_mes,es_quincena,es_feriado,post_feriado,tendencia,mes_2,mes_3,mes_4,mes_5,mes_6,mes_7,mes_8,mes_9,mes_10,mes_11,mes_12,shock_macro,shock_evento_nov24,shock_evento_mar25,shock_evento_abr25_1,shock_evento_abr25_2,shock_evento_abr25_3,shock_evento_may25,shock_evento_jun25_1,shock_evento_jun25_2,shock_evento_jul25_1,shock_evento_jul25_2,shock_evento_ago25_1,shock_evento_ago25_2,shock_evento_ago_sep25,shock_evento_oct25,shock_evento_oct_nov25,shock_evento_nov25,btc_retorno,btc_volatilidad,btc_retorno_abs,btc_vol_alta,log_volumen,log_volumen_lag1,log_volumen_lag7,volumen_lag1,volumen_retorno,volatilidad_precio,log_ordenes,log_traders
2024-09-10,10.197376,0.0466979,10.01,10.39,700665.1885871887,769.1165626643125,911,2024.1459368296157,181,322807.10038375854,377858.0882034302,0.8543077691378319,1,Tuesday,10,9,37,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.459786859429837,12.833140970676837,,374421.81928634644,87.13257414396067,3.72645,7.613397044514078,5.204006687076795
2024-09-11,10.465152,0.11731764,10.17,10.85,621110.4153022766,697.093619867875,891,2164.2881403986507,201,266131.28082084656,354979.13448143005,0.7497096447925692,2,Wednesday,11,9,37,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.33926575754816,13.459786859429837,,700665.1885871887,-11.354178084018308,6.497759,7.680308721834287,5.308267697401205
2024-09-12,10.626226,0.101350866,10.36,10.88,671839.2217082977,726.3126721170786,925,2332.9923891883172,205,291812.7208213806,380026.5008869171,0.7678746617415876,3,Thursday,12,9,37,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4177758259196,13.33926575754816,,621110.4153022766,8.167437730267801,4.893557,7.755335551996419,5.327876168789581
2024-09-13,10.744025,0.06423656,10.5,10.95,749177.4757194519,844.6194765720991,887,2036.464097698633,167,268473.14937210083,480704.3263473511,0.5584995488018667,4,Friday,13,9,37,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.526732519453637,13.4177758259196,,671839.2217082977,11.511422898845481,4.1883726,7.619461224198363,5.123963979403259
2024-09-14,10.575993,0.08352179,10.26,10.8,494630.13918304443,629.3004315305909,786,1836.3701066475394,133,245379.13975334167,249250.99942970276,0.9844660214594121,5,Saturday,14,9,37,0,0,0,0,1,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.111567590403562,13.526732519453637,,749177.4757194519,-33.97690731317836,5.105903,7.516090538328475,4.897839799950911
2024-09-15,10.527672,0.07842062,10.31,10.8,413350.47976493835,633.002266102509,653,1466.9828701552588,126,183214.8710269928,230135.60873794556,0.7961170026304742,6,Sunday,15,9,37,0,0,0,0,0,1,1,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.932053550606526,13.111567590403562,,494630.13918304443,-16.432411407916135,4.654398,7.291644540274812,4.844187086458591
2024-09-16,10.488411,0.06272218,10.3,10.74,630415.6310596466,715.5682531891562,881,2093.6171039565133,170,272812.86068344116,357602.77037620544,0.7628935883143088,0,Monday,16,9,38,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.354136198934867,12.932053550606526,12.833140970676837,413350.47976493835,52.51358397313282,4.195102,7.647126049044517,5.14166355650266
2024-09-17,10.551573,0.060491554,10.38,10.8,798462.1807785034,848.5251655456997,941,2248.488666017796,183,361178.50093078613,437283.6798477173,0.8259592515699773,1,Tuesday,17,9,38,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.590444135090054,13.354136198934867,13.459786859429837,630415.6310596466,26.656469389312633,3.98045,7.7184582098234555,5.214935757608986
2024-09-18,10.578426,0.04351859,10.41,10.76,651672.1222934723,743.0696947474029,877,1954.6662810376856,181,324059.8784561157,327612.24383735657,0.989156799087752,2,Wednesday,18,9,38,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.38729836901712,13.590444135090054,13.33926575754816,798462.1807785034,-18.384096581995944,3.3086245,7.5784862230722965,5.204006687076795
2024-09-19,10.563665,0.044743232,10.35,10.79,751943.3026847839,832.7168357528061,903,1896.0940443718096,183,344336.19097709656,407607.1117076874,0.8447747379443048,3,Thursday,19,9,38,0,0,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.530417534610242,13.38729836901712,13.4177758259196,651672.1222934723,15.386753086570693,4.165217,7.548078544020806,5.214935757608986
