time,open,high,low,close,precio_mean,precio_std,volume,ticket_mean,n_trans,n_traders,rango,rango_pct,cambio,cambio_pct,es_verde,volatilidad,spread,spread_pct
2024-09-09,10.1,10.45,10.05,10.22,10.211519,0.053640116,374421.81928634644,720.0419601660508,520,129,0.39999962,3.9603922,0.119999886,1.1881176,1,0.52529025,0.07999992,0.7889539
2024-09-10,10.12,10.39,10.01,10.24,10.197376,0.0466979,700665.1885871887,769.1165626643125,911,181,0.3800001,3.7549417,0.119999886,1.1857696,1,0.45794034,0.06000042,0.5859416
2024-09-11,10.38,10.85,10.17,10.5,10.465152,0.11731764,621110.4153022766,697.093619867875,891,201,0.6800003,6.551062,0.119999886,1.1560682,1,1.1210314,0.09000015,0.8571443
2024-09-12,10.51,10.88,10.36,10.74,10.626226,0.101350866,671839.2217082977,726.3126721170786,925,205,0.52000046,4.9476733,0.22999954,2.1883874,1,0.9537804,0.10999966,1.0348039
2024-09-13,10.73,10.95,10.5,10.61,10.744025,0.06423656,749177.4757194519,844.6194765720991,887,167,0.4499998,4.193847,-0.119999886,-1.1183587,0,0.5978817,0.09000015,0.84825784
2024-09-14,10.61,10.8,10.26,10.43,10.575993,0.08352179,494630.13918304443,629.3004315305909,786,133,0.53999996,5.0895376,-0.17999935,-1.6965067,0,0.7897301,0.119999886,1.1505262
2024-09-15,10.53,10.8,10.31,10.54,10.527672,0.07842062,413350.47976493835,633.002266102509,653,126,0.48999977,4.6533694,0.010000229,0.09496894,1,0.7448999,0.09000015,0.8538914
2024-09-16,10.65,10.74,10.3,10.41,10.488411,0.06272218,630415.6310596466,715.5682531891562,881,170,0.43999958,4.1314516,-0.23999977,-2.253519,0,0.5980141,0.17000008,1.6330458
2024-09-17,10.42,10.8,10.38,10.63,10.551573,0.060491554,798462.1807785034,848.5251655456997,941,183,0.42000008,4.0307107,0.21000004,2.0153553,1,0.57329416,0.069999695,0.6628759
2024-09-18,10.5,10.76,10.41,10.56,10.578426,0.04351859,651672.1222934723,743.0696947474029,877,181,0.35000038,3.3333368,0.06000042,0.5714326,1,0.41139004,0.059999466,0.56817675
2024-09-19,10.53,10.79,10.35,10.63,10.563665,0.044743232,751943.3026847839,832.7168357528061,903,183,0.43999958,4.1785336,0.10000038,0.9496713,1,0.42355782,0.119999886,1.1417686
2024-09-20,10.58,10.69,10.35,10.51,10.531706,0.04213793,650720.1224060059,754.8957336496587,862,173,0.3399992,3.213603,-0.069999695,-0.6616228,0,0.40010545,0.05000019,0.47573918
2024-09-21,10.51,10.65,10.33,10.46,10.50114,0.044102646,395081.5188961029,555.6702094178662,711,139,0.3199997,3.0447164,-0.05000019,-0.47573918,0,0.41997963,0.07999992,0.7648176
2024-09-22,10.45,10.65,10.41,10.55,10.50454,0.03860991,313547.49862480164,523.4515836808041,599,122,0.23999977,2.2966485,0.10000038,0.9569415,1,0.3675545,0.07000065,0.66794515
2024-09-23,10.54,10.63,10.3,10.49,10.516645,0.03781592,670774.8585929871,698.7238110343616,960,175,0.32999992,3.1309292,-0.05000019,-0.4743851,0,0.3595816,0.07000065,0.6673084
2024-09-24,10.49,10.63,10.38,10.53,10.522537,0.035040226,535308.2903900146,675.8943060479983,792,148,0.25,2.3832223,0.03999996,0.38131517,1,0.33300167,0.10000038,0.9496713
2024-09-25,10.61,10.7,10.4,10.64,10.558889,0.034271076,740931.8512001038,784.0548689948188,945,188,0.3000002,2.827523,0.030000687,0.2827586,1,0.32457086,0.09000015,0.853082
2024-09-26,10.55,10.85,10.42,10.61,10.609169,0.049822133,716331.2361297607,762.8660661658794,939,198,0.4300003,4.0758324,0.059999466,0.5687153,1,0.4696139,0.07000065,0.6597611
2024-09-27,10.6,10.83,10.4,10.57,10.615615,0.058219645,744203.7465019226,795.9398358309332,935,197,0.4300003,4.0566063,-0.030000687,-0.28302535,0,0.548434,0.06000042,0.5676483
2024-09-28,10.55,10.7,10.41,10.59,10.562263,0.04136217,599032.6581745148,728.750192426417,822,164,0.28999996,2.7488148,0.03999996,0.37914655,1,0.39160332,0.07999992,0.7611791
2024-09-29,10.59,10.7,10.41,10.54,10.556603,0.03515103,328389.76847076416,566.1892559840761,580,130,0.28999996,2.738432,-0.05000019,-0.47214535,0,0.33297673,0.05000019,0.4743851
2024-09-30,10.53,10.7,10.35,10.48,10.540046,0.04647383,661571.9059276581,745.8533325001782,887,187,0.34999943,3.3238313,-0.05000019,-0.47483566,0,0.44092628,0.06000042,0.5725231
2024-10-01,10.53,10.66,10.3,10.51,10.454638,0.04994532,808991.0201015472,750.4554917454057,1078,191,0.35999966,3.4188004,-0.019999504,-0.18992881,0,0.47773364,0.07999992,0.7670175
2024-10-02,10.43,10.7,10.3,10.46,10.485194,0.05407265,860381.482000351,815.52747109038,1055,215,0.39999962,3.8350873,0.029999733,0.28762928,1,0.5157048,0.09000015,0.86042213
2024-10-03,10.55,10.65,10.4,10.55,10.531431,0.037105743,585524.7270069122,639.9177344337838,915,192,0.25,2.3696682,0.0,0.0,1,0.35233334,0.07000065,0.66794515
2024-10-04,10.55,10.62,10.31,10.35,10.496834,0.04183919,656884.4468326569,688.5581203696613,954,195,0.30999947,2.9383833,-0.19999981,-1.8957328,0,0.39858866,0.15999985,1.5458922
2024-10-05,10.55,10.59,10.31,10.4,10.450469,0.039019857,571653.4723052979,706.6173946913447,809,156,0.27999973,2.6540258,-0.15000057,-1.4218063,0,0.373379,0.09000015,0.8653861
2024-10-06,10.48,10.57,10.31,10.43,10.436151,0.036066692,404492.3270339966,574.562964536927,704,127,0.25999928,2.4809093,-0.049999237,-0.47709197,0,0.34559384,0.049999237,0.47937906
2024-10-07,10.47,10.59,10.25,10.49,10.436876,0.038796376,754721.9870910645,765.4381207820127,986,214,0.34000015,3.2473748,0.019999504,0.19101723,1,0.371724,0.069999695,0.67178214
