time,open,high,low,close,volume,n_trans
2024-09-09,10.26,10.45,10.19,10.22,180002.0686969757,221
2024-09-10,10.2,10.39,10.18,10.3,322807.10038375854,359
2024-09-11,10.38,10.85,10.29,10.59,266131.28082084656,378
2024-09-12,10.59,10.88,10.5,10.74,291812.7208213806,404
2024-09-13,10.73,10.95,10.69,10.7,268473.14937210083,356
2024-09-14,10.71,10.8,10.39,10.55,245379.13975334167,358
2024-09-15,10.53,10.8,10.4,10.63,183214.8710269928,272
2024-09-16,10.65,10.74,10.48,10.58,272812.86068344116,377
2024-09-17,10.57,10.8,10.5,10.63,361178.50093078613,416
2024-09-18,10.61,10.76,10.57,10.62,324059.8784561157,396
2024-09-19,10.59,10.79,10.55,10.63,344336.19097709656,428
2024-09-20,10.58,10.69,10.5,10.56,317720.56912994385,385
2024-09-21,10.56,10.65,10.51,10.54,177940.8906841278,282
2024-09-22,10.52,10.65,10.51,10.55,148652.2178955078,242
2024-09-23,10.54,10.63,10.52,10.56,369389.18945503235,431
2024-09-24,10.55,10.63,10.52,10.63,251534.86758422852,305
2024-09-25,10.61,10.7,10.54,10.64,366717.1283340454,403
2024-09-26,10.7,10.85,10.58,10.68,308244.63904571533,400
2024-09-27,10.68,10.83,10.55,10.63,373910.35609817505,413
2024-09-28,10.63,10.7,10.56,10.59,265377.8001155853,353
2024-09-29,10.59,10.7,10.56,10.59,164908.52107048035,221
2024-09-30,10.64,10.7,10.53,10.54,311392.4376335144,425
2024-10-01,10.53,10.66,10.42,10.51,401891.26254844666,488
2024-10-02,10.51,10.7,10.47,10.55,400371.1596317291,438
2024-10-03,10.55,10.65,10.53,10.55,230352.98759269714,362
2024-10-04,10.55,10.62,10.49,10.51,310735.769821167,398
2024-10-05,10.55,10.59,10.46,10.49,242375.3614616394,328
2024-10-06,10.48,10.57,10.45,10.48,155639.84006500244,281
2024-10-07,10.47,10.59,10.4,10.49,355190.1989746094,442
2024-10-08,10.5,10.65,10.46,10.53,281597.96154022217,393
2024-10-09,10.56,10.72,10.52,10.61,329027.95074653625,388
2024-10-10,10.57,10.73,10.55,10.61,318391.8117618561,371
2024-10-11,10.6,10.67,10.56,10.58,266549.42820358276,344
2024-10-12,10.6,10.62,10.51,10.55,258668.30890464783,325
2024-10-13,10.54,10.62,10.53,10.57,173466.5765361786,244
2024-10-14,10.56,10.7,10.52,10.57,407336.2339897156,408
2024-10-15,10.58,10.71,10.54,10.58,383588.0298233032,418
2024-10-16,10.58,10.69,10.55,10.59,373379.56388664246,391
2024-10-17,10.59,10.7,10.56,10.62,375281.66007232666,374
2024-10-18,10.61,10.8,10.58,10.6,297743.40396118164,378
2024-10-19,10.61,10.7,10.57,10.59,226388.93961334229,306
2024-10-20,10.6,10.68,10.58,10.67,129757.71037483215,250
2024-10-21,10.63,10.82,10.59,10.65,300763.4912509918,385
2024-10-22,10.65,10.81,10.6,10.66,387276.37226486206,380
2024-10-23,10.65,10.8,10.6,10.64,391058.5687274933,459
2024-10-24,10.65,10.71,10.61,10.66,335788.45091056824,382
2024-10-25,10.66,10.75,10.63,10.66,313557.52009010315,398
2024-10-26,10.66,10.72,10.61,10.64,258387.32271194458,325
2024-10-27,10.64,10.77,10.61,10.64,157734.9489517212,257
2024-10-28,10.64,10.78,10.56,10.68,373394.56156539917,399
2024-10-29,10.66,10.81,10.61,10.65,343956.94940567017,429
2024-10-30,10.65,10.84,10.6,10.64,323984.04683303833,392
2024-10-31,10.65,10.8,10.59,10.61,335826.3795661926,407
2024-11-01,10.62,10.7,10.59,10.61,356942.33093452454,427
2024-11-02,10.61,10.69,10.55,10.63,260633.9191455841,377
2024-11-03,10.6,10.69,10.57,10.59,165769.27066612244,314
2024-11-04,10.6,10.75,10.51,10.56,444302.5821723938,537
2024-11-05,10.54,10.7,10.52,10.55,428315.3503551483,525
2024-11-06,10.55,10.7,10.52,10.55,502451.2119846344,535
2024-11-07,10.55,10.64,10.48,10.54,475739.29271698,491
2024-11-08,10.54,10.63,10.48,10.55,428271.7696094513,498
2024-11-09,10.53,10.69,10.47,10.52,413716.3292808533,425
2024-11-10,10.52,10.63,10.47,10.52,311020.83370399475,393
2024-11-11,10.49,10.7,10.46,10.55,611315.0702667236,620
2024-11-12,10.56,10.7,10.47,10.55,475725.82022094727,539
2024-11-13,10.58,10.78,10.5,10.64,512448.85974121094,526
2024-11-14,10.58,10.76,10.57,10.64,597807.6127719879,529
2024-11-15,10.63,10.78,10.54,10.69,478605.0688228607,502
2024-11-16,10.68,10.8,10.6,10.66,331280.7014942169,391
2024-11-17,10.66,10.79,10.62,10.67,239429.22303771973,288
2024-11-18,10.68,10.9,10.63,10.77,426870.67848587036,456
2024-11-19,10.78,11.09,10.71,10.94,465212.9906196594,525
2024-11-20,10.97,11.59,10.94,11.2,522993.7921657562,526
2024-11-21,11.2,11.75,11.18,11.63,452852.7505531311,511
2024-11-22,11.63,12.38,11.56,12.23,464496.6306838989,498
2024-11-23,12.22,12.34,11.25,11.7,463285.3703613281,484
2024-11-24,11.59,12.1,11.53,12.07,252538.85988235474,306
2024-11-25,12.03,12.15,11.58,11.77,449530.76568603516,498
2024-11-26,11.67,11.9,11.23,11.33,495737.861825943,500
2024-11-27,11.36,11.51,10.97,11.14,427129.4702281952,470
2024-11-28,11.16,11.35,11.03,11.17,431280.93973731995,475
2024-11-29,11.17,11.35,11.07,11.15,459360.9159049988,481
2024-11-30,11.19,11.3,11.08,11.13,428423.1058139801,436
2024-12-01,11.15,11.2,11.06,11.2,320739.94870758057,444
2024-12-02,11.19,11.25,11.03,11.08,660270.0448799133,618
2024-12-03,11.1,11.25,11.04,11.05,534240.2464103699,545
2024-12-04,11.11,11.3,11.05,11.13,517729.1966190338,544
2024-12-05,11.21,11.54,11.09,11.2,558032.3816757202,524
2024-12-06,11.15,11.31,11.11,11.15,566831.4701652527,518
