time,open,high,low,close,volume,n_trans
2024-09-09,10.1,10.26,10.05,10.14,194419.75058937073,299
2024-09-10,10.12,10.29,10.01,10.24,377858.0882034302,552
2024-09-11,10.21,10.67,10.17,10.5,354979.13448143005,513
2024-09-12,10.51,10.75,10.36,10.63,380026.5008869171,521
2024-09-13,10.63,10.81,10.5,10.61,480704.3263473511,531
2024-09-14,10.61,10.64,10.26,10.43,249250.99942970276,428
2024-09-15,10.34,10.64,10.31,10.54,230135.60873794556,381
2024-09-16,10.58,10.6,10.3,10.41,357602.77037620544,504
2024-09-17,10.42,10.59,10.38,10.56,437283.6798477173,525
2024-09-18,10.5,10.6,10.41,10.56,327612.24383735657,481
2024-09-19,10.53,10.57,10.35,10.51,407607.1117076874,475
2024-09-20,10.52,10.55,10.35,10.51,332999.553276062,477
2024-09-21,10.51,10.52,10.33,10.46,217140.6282119751,429
2024-09-22,10.45,10.51,10.41,10.48,164895.28072929382,357
2024-09-23,10.49,10.52,10.3,10.49,301385.6691379547,529
2024-09-24,10.49,10.55,10.38,10.53,283773.42280578613,487
2024-09-25,10.51,10.58,10.4,10.55,374214.72286605835,542
2024-09-26,10.55,10.69,10.42,10.61,408086.5970840454,539
2024-09-27,10.6,10.65,10.4,10.57,370293.39040374756,522
2024-09-28,10.55,10.59,10.41,10.51,333654.85805892944,469
2024-09-29,10.53,10.57,10.41,10.54,163481.2474002838,359
2024-09-30,10.53,10.56,10.35,10.48,350179.4682941437,462
2024-10-01,10.45,10.49,10.3,10.43,407099.7575531006,590
2024-10-02,10.43,10.56,10.3,10.46,460010.3223686218,617
2024-10-03,10.47,10.55,10.4,10.48,355171.7394142151,553
2024-10-04,10.48,10.51,10.31,10.35,346148.67701148987,556
2024-10-05,10.43,10.48,10.31,10.4,329278.11084365845,481
2024-10-06,10.41,10.47,10.31,10.43,248852.48696899414,423
2024-10-07,10.4,10.46,10.25,10.42,399531.7881164551,544
2024-10-08,10.43,10.51,10.28,10.49,410718.6057090759,637
2024-10-09,10.48,10.56,10.42,10.53,351908.0925140381,596
2024-10-10,10.52,10.57,10.4,10.56,318270.90954971313,543
2024-10-11,10.56,10.57,10.4,10.52,332052.8756980896,556
2024-10-12,10.52,10.53,10.41,10.47,208643.57122421265,424
2024-10-13,10.5,10.52,10.42,10.5,206242.84030151367,401
2024-10-14,10.5,10.54,10.4,10.53,443486.69050216675,589
2024-10-15,10.53,10.56,10.42,10.53,365483.90777397156,617
2024-10-16,10.51,10.56,10.41,10.53,376556.9023036957,554
2024-10-17,10.54,10.59,10.46,10.52,314489.9807090759,593
2024-10-18,10.52,10.6,10.4,10.54,420073.045419693,508
2024-10-19,10.55,10.57,10.42,10.54,217868.9217262268,432
2024-10-20,10.55,10.58,10.4,10.57,194013.67176437378,422
2024-10-21,10.55,10.63,10.47,10.58,420497.9315319061,585
2024-10-22,10.59,10.64,10.4,10.6,431009.3812561035,608
2024-10-23,10.59,10.63,10.5,10.59,329029.7692298889,513
2024-10-24,10.58,10.62,10.5,10.61,322598.13224601746,476
2024-10-25,10.61,10.64,10.5,10.61,293698.66746902466,485
2024-10-26,10.59,10.62,10.5,10.58,274077.6527557373,419
2024-10-27,10.58,10.6,10.37,10.58,208497.18983078003,402
2024-10-28,10.6,10.65,10.4,10.59,385715.11649513245,540
2024-10-29,10.56,10.62,10.4,10.6,352585.7955112457,519
2024-10-30,10.59,10.62,10.51,10.58,336539.9397468567,507
2024-10-31,10.6,10.62,10.4,10.57,389029.37046813965,557
2024-11-01,10.55,10.58,10.47,10.55,422913.7343826294,573
2024-11-02,10.52,10.55,10.45,10.52,272403.5921421051,457
2024-11-03,10.52,10.55,10.35,10.53,184024.9508113861,391
2024-11-04,10.53,10.55,10.35,10.5,428492.2038383484,591
2024-11-05,10.49,10.53,10.34,10.5,483497.6157512665,589
2024-11-06,10.49,10.56,10.4,10.47,500843.2580871582,600
2024-11-07,10.47,10.52,10.31,10.47,433031.13921546936,569
2024-11-08,10.45,10.52,10.3,10.3,470585.5693702698,573
2024-11-09,10.36,10.47,10.28,10.28,414774.0729560852,545
2024-11-10,10.44,10.47,10.25,10.4,337853.12790107727,486
2024-11-11,10.44,10.52,10.26,10.35,526856.7316398621,612
2024-11-12,10.4,10.52,10.3,10.47,490359.3664188385,564
2024-11-13,10.47,10.57,10.3,10.55,427696.26222991943,579
2024-11-14,10.54,10.58,10.4,10.56,478458.53356552124,630
2024-11-15,10.5,10.7,10.37,10.53,462375.4382762909,645
2024-11-16,10.56,10.63,10.35,10.42,384951.6913051605,559
2024-11-17,10.54,10.63,10.4,10.61,256517.73994636536,432
2024-11-18,10.52,10.7,10.47,10.69,548902.0723648071,629
2024-11-19,10.69,10.92,10.6,10.9,584912.1685791016,646
2024-11-20,10.8,11.5,10.7,11.1,586865.6784095764,685
2024-11-21,11.01,11.58,10.89,11.56,488313.1796550751,672
2024-11-22,11.41,12.17,11.25,11.8,615298.8488044739,704
2024-11-23,12.06,12.16,11.1,11.45,449561.94975852966,563
2024-11-24,11.42,11.92,10.82,11.91,266377.43801498413,401
2024-11-25,11.8,11.93,11.4,11.53,514875.869972229,585
2024-11-26,11.52,11.6,11.05,11.26,410400.8582496643,511
2024-11-27,11.12,11.26,10.8,11.04,457950.3074874878,501
2024-11-28,11.04,11.11,10.8,11.07,461899.4004936218,537
2024-11-29,11.07,11.17,10.9,11.0,401125.8230667114,605
2024-11-30,11.06,11.13,10.8,11.03,471446.17809677124,607
2024-12-01,11.02,11.08,10.82,11.01,363501.96075057983,608
2024-12-02,11.01,11.06,10.8,10.99,628059.4827041626,774
2024-12-03,10.98,11.07,10.83,11.01,623428.8137149811,700
2024-12-04,11.01,11.08,10.85,11.07,497935.4652671814,670
2024-12-05,11.06,11.23,10.9,11.1,555531.0514965057,637
2024-12-06,11.0,11.12,10.9,11.07,567908.625453949,662
2024-12-07,11.07,11.12,10.85,11.03,489983.05867004395,601
2024-12-08,10.93,11.08,10.84,11.04,357827.9722728729,526
2024-12-09,11.05,11.06,10.83,11.03,652324.088514328,617
2024-12-10,10.94,11.1,10.83,11.03,632292.7757663727,727
2024-12-11,10.97,11.08,10.85,10.93,543964.9037513733,650
2024-12-12,10.9,11.07,10.85,11.03,525707.4046440125,694
2024-12-13,11.03,11.11,10.85,11.04,515832.04100227356,574
2024-12-14,11.05,11.07,10.85,11.02,452567.53137016296,593
2024-12-15,11.04,11.07,10.85,11.05,276281.68036460876,453
2024-12-16,10.92,11.06,10.85,11.0,571284.4851799011,653
2024-12-17,11.01,11.07,10.9,11.03,522643.7476634979,676
2024-12-18,11.01,11.2,10.91,11.17,496853.18841552734,667
2024-12-19,11.14,11.42,11.0,11.18,622104.6652145386,656
2024-12-20,11.18,11.3,11.0,11.2,477555.1478099823,580
2024-12-21,11.19,11.2,10.91,11.08,482970.6944503784,538
2024-12-22,11.02,11.11,10.88,11.05,353631.2626438141,455
2024-12-23,11.1,11.13,10.85,10.99,703811.8028888702,751
2024-12-24,11.0,11.08,10.87,11.04,649958.912853241,661
2024-12-25,11.04,11.08,10.9,11.05,265362.0409889221,391
2024-12-26,11.04,11.08,10.86,11.06,585614.4970569611,656
2024-12-27,11.05,11.15,10.9,11.08,577543.3090400696,660
2024-12-28,11.02,11.08,10.87,11.07,391873.519033432,570
2024-12-29,11.05,11.08,10.81,11.02,315275.67395401,524
2024-12-30,11.03,11.09,10.85,10.91,660795.1770935059,779
2024-12-31,11.03,11.12,10.88,11.06,483868.4118385315,674
2025-01-01,11.0,11.08,10.9,11.05,190377.90992546082,419
2025-01-02,11.05,11.08,10.9,11.05,591852.8437576294,734
2025-01-03,11.02,11.09,10.88,11.01,517403.4946594238,760
2025-01-04,11.01,11.08,10.86,11.02,461271.1851196289,702
2025-01-05,11.02,11.09,10.9,11.05,336072.63638687134,474
2025-01-06,10.97,11.08,10.85,11.05,622326.8164978027,683
2025-01-07,11.04,11.1,10.87,11.04,545423.4051170349,653
2025-01-08,11.07,11.19,10.96,11.18,577773.0372123718,707
2025-01-09,11.18,11.32,11.08,11.22,640426.1304969788,684
2025-01-10,11.19,11.29,10.93,11.15,602533.7093372345,706
2025-01-11,11.15,11.3,10.91,11.12,454034.91834640503,597
2025-01-12,11.05,11.16,11.0,11.11,299564.8765525818,400
2025-01-13,11.11,11.3,11.0,11.06,550493.5843677521,642
2025-01-14,11.12,11.22,10.95,11.17,536636.4078674316,635
2025-01-15,11.18,11.25,11.0,11.18,615795.8828430176,742
2025-01-16,11.25,11.29,11.1,11.15,577454.5136070251,619
2025-01-17,11.26,11.32,11.1,11.21,606346.4274959564,661
2025-01-18,11.2,11.3,11.1,11.21,517074.13307380676,599
2025-01-19,11.21,11.43,11.15,11.43,412770.96511268616,505
2025-01-20,11.31,11.47,11.15,11.24,647928.9109172821,632
2025-01-21,11.33,11.36,11.16,11.34,562240.3464679718,679
2025-01-22,11.22,11.35,11.12,11.2,530764.6426391602,628
